doctor_id,name,clinic_id
D000000331,Dr. Michael Ng,97
D000000332,Dr. Sarah Ali,97
D000000333,Dr. Andrew Sim,98
D000000334,Dr. Teo Chen,98
D000000335,Dr. Michelle Sim,98
D000000336,Dr. Jing Singh,99
D000000337,Dr. Lim Chong,99
D000000338,Dr. Emily Nair,99
D000000339,Dr. Jing Tan,99
D000000340,Dr. Ong Ho,100
D000000341,Dr. Wei Ali,100
D000000342,Dr. Linda Chua,100
D000000343,Dr. Rachel Rahman,100
D000000344,Dr. Priya Yap,101
D000000345,Dr. Mary Chong,101
D000000346,Dr. David Chen,101
D000000347,Dr. Wei Ang,101
D000000348,Dr. Sarah Koh,102
D000000349,Dr. Grace Lee,102
D000000350,Dr. Linda Koh,102
D000000351,Dr. Rui Chng,102
D000000352,Dr. Amanda Ali,103
D000000353,Dr. Ming Chua,103
D000000354,Dr. Kevin Soh,103
D000000355,Dr. Lim Singh,103
D000000356,Dr. Lee Chong,103
D000000357,Dr. Linda Ng,104
D000000358,Dr. Wong Singh,104
D000000359,Dr. Teo Chua,104
D000000360,Dr. Andrew Sim,105
D000000361,Dr. Michelle Tay,105
D000000362,Dr. Kumar Chua,105
D000000363,Dr. Jessica Lim,106
D000000364,Dr. Andrew Teo,106
D000000365,Dr. Marcus Soh,106
D000000366,Dr. Kumar Ali,106
D000000367,Dr. Ng Soh,106
D000000368,Dr. Priya Singh,107
D000000369,Dr. Marcus Low,107
D000000370,Dr. Ming Koh,108
D000000371,Dr. Grace Lee,108
D000000372,Dr. David Teo,108
D000000373,Dr. Benjamin Goh,108
D000000374,Dr. Hui Lim,108
D000000375,Dr. Wei Chong,109
D000000376,Dr. Jun Rahman,109
D000000377,Dr. Steven Hassan,110
D000000378,Dr. Daniel Chen,110
D000000379,Dr. Emily Ang,110
D000000380,Dr. Robert Ang,110
D000000381,Dr. Kevin Low,111
D000000382,Dr. Xin Kumar,111
D000000383,Dr. Ong Rahman,112
D000000384,Dr. Lee Tay,112
D000000385,Dr. Chen Yap,113
D000000386,Dr. Priya Wong,113
D000000387,Dr. Steven Low,114
D000000388,Dr. Rachel Rahman,114
D000000389,Dr. Nicole Chen,114
D000000390,Dr. Benjamin Kumar,114
D000000391,Dr. Kumar Ali,114
D000000392,Dr. Kevin Ng,115
D000000393,Dr. Daniel Lee,115
D000000394,Dr. Mary Teo,116
D000000395,Dr. James Sim,116
D000000396,Dr. Amanda Chng,116
D000000397,Dr. Ming Rahman,116
D000000398,Dr. Ong Ang,117
D000000399,Dr. James Lee,117
D000000400,Dr. Yan Goh,118
D000000401,Dr. Robert Krishnan,118
D000000402,Dr. Steven Hassan,118
D000000403,Dr. John Ng,119
D000000404,Dr. Kevin Sim,119
D000000405,Dr. Chen Yeo,120
D000000406,Dr. Lee Ho,120
D000000407,Dr. Chen Chen,120
D000000408,Dr. Ong Ali,121
D000000409,Dr. Priya Singh,121
D000000410,Dr. Grace Goh,122
D000000411,Dr. Chen Soh,122
D000000412,Dr. Ong Ho,122
D000000413,Dr. Jun Ng,123
D000000414,Dr. Ng Ho,123
D000000415,Dr. Priya Krishnan,124
D000000416,Dr. Rajesh Tan,124
D000000417,Dr. Wei Tan,125
D000000418,Dr. Ng Yap,125
D000000419,Dr. Amanda Tay,126
D000000420,Dr. Goh Tay,126
D000000421,Dr. Sarah Yeo,126
D000000422,Dr. Xin Rahman,126
D000000423,Dr. Andrew Chong,127
D000000424,Dr. John Goh,127
D000000425,Dr. Ng Ong,128
D000000426,Dr. Teo Ang,128
D000000427,Dr. Xin Ali,129
D000000428,Dr. Jing Tay,129
D000000429,Dr. Kumar Goh,130
D000000430,Dr. Sarah Chong,130
D000000431,Dr. Rui Wong,130
D000000432,Dr. Yan Low,130
D000000433,Dr. Robert Rahman,130
D000000434,Dr. Lee Nair,131
D000000435,Dr. Lee Lee,131
D000000436,Dr. Michelle Tay,131
D000000437,Dr. Ng Singh,131
D000000438,Dr. Lee Teo,131
D000000439,Dr. Lee Sim,132
D000000440,Dr. Chen Koh,132
D000000441,Dr. Ming Lee,132
D000000442,Dr. Amanda Lim,133
D000000443,Dr. Benjamin Ng,133
D000000444,Dr. Jessica Yap,133
D000000445,Dr. Steven Ng,133
D000000446,Dr. Ming Ang,134
D000000447,Dr. Mary Teo,134
D000000448,Dr. Lim Ali,135
D000000449,Dr. Nicole Ang,135
D000000450,Dr. Kevin Sim,136
D000000451,Dr. Michael Soh,136
D000000452,Dr. James Yeo,136
D000000453,Dr. Rachel Ong,136
D000000454,Dr. Robert Chen,137
D000000455,Dr. Kumar Sim,137
D000000456,Dr. Linda Koh,137
D000000457,Dr. Jennifer Rahman,138
D000000458,Dr. Rui Kumar,138
D000000459,Dr. Steven Yap,138
D000000460,Dr. Robert Rahman,138
D000000461,Dr. Kumar Wong,139
D000000462,Dr. Sarah Lee,139
D000000463,Dr. Xin Yeo,139
D000000464,Dr. Grace Low,140
D000000465,Dr. Benjamin Hassan,140
D000000466,Dr. Lim Lee,141
D000000467,Dr. Daniel Krishnan,141
D000000468,Dr. Andrew Soh,141
D000000469,Dr. Xin Sim,142
D000000470,Dr. Wong Tan,142
D000000471,Dr. Ong Teo,142
D000000472,Dr. Jun Ali,143
D000000473,Dr. Michael Nair,143
D000000474,Dr. Wei Yeo,144
D000000475,Dr. Amanda Yap,144
D000000476,Dr. Ong Ng,144
D000000477,Dr. Sarah Yap,145
D000000478,Dr. Priya Ng,145
D000000479,Dr. Emily Koh,145
D000000480,Dr. Marcus Chong,146
D000000481,Dr. Chen Tan,146
D000000482,Dr. Yan Kumar,146
D000000483,Dr. Steven Goh,146
D000000484,Dr. Lim Ali,147
D000000485,Dr. Lim Kumar,147
D000000486,Dr. Wong Tay,147
D000000487,Dr. Jun Tay,147
D000000488,Dr. Priya Goh,148
D000000489,Dr. Goh Singh,148
D000000490,Dr. Wong Lee,148
D000000491,Dr. Li Sim,148
D000000492,Dr. Steven Teo,149
D000000493,Dr. Kevin Teo,149
D000000494,Dr. Michelle Soh,149
D000000495,Dr. Li Chua,149
D000000496,Dr. Priya Yap,150
D000000497,Dr. Michelle Ong,150
D000000498,Dr. Grace Lim,150
D000000499,Dr. Benjamin Ho,150
D000000500,Dr. Michael Low,150
D000000501,Dr. Chen Chong,151
D000000502,Dr. Michelle Krishnan,151
D000000503,Dr. Jennifer Low,151
D000000504,Dr. Mary Ang,152
D000000505,Dr. Andrew Soh,152
D000000506,Dr. Teo Low,152
D000000507,Dr. Rui Yeo,152
D000000508,Dr. Steven Yeo,152
D000000509,Dr. Benjamin Teo,153
D000000510,Dr. Chen Chng,153
D000000511,Dr. Rajesh Rahman,153
D000000512,Dr. Robert Ho,154
D000000513,Dr. Rajesh Hassan,154
D000000514,Dr. James Krishnan,154
D000000515,Dr. Michelle Kumar,155
D000000516,Dr. Sarah Low,155
D000000517,Dr. Ong Sim,155
D000000518,Dr. John Ho,156
D000000519,Dr. Michelle Wong,156
D000000520,Dr. Li Chng,156
D000000521,Dr. Kevin Koh,157
D000000522,Dr. Kumar Sim,157
D000000523,Dr. Andrew Chen,157
D000000524,Dr. Marcus Chng,158
D000000525,Dr. Hui Kumar,158
D000000526,Dr. Sarah Chong,158
D000000527,Dr. Chen Nair,158
D000000528,Dr. Michael Ng,159
D000000529,Dr. Ng Lee,159
D000000530,Dr. Steven Tay,159
D000000531,Dr. Linda Singh,160
D000000532,Dr. Sarah Chong,160
D000000533,Dr. Chen Ng,160
D000000534,Dr. Chen Rahman,161
D000000535,Dr. Teo Hassan,161
D000000536,Dr. Tan Koh,161
D000000537,Dr. Rajesh Koh,161
D000000538,Dr. Wong Tan,161
D000000539,Dr. Rajesh Nair,162
D000000540,Dr. Jennifer Krishnan,162
D000000541,Dr. Steven Koh,162
D000000542,Dr. Rajesh Kumar,163
D000000543,Dr. Tan Low,163
D000000544,Dr. Jessica Chong,163
D000000545,Dr. Rui Kumar,163
D000000546,Dr. Jessica Singh,163
D000000547,Dr. Marcus Tan,164
D000000548,Dr. Sarah Tan,164
D000000549,Dr. Priya Tay,164
D000000550,Dr. Xin Chua,164
D000000551,Dr. Sarah Lim,165
D000000552,Dr. Daniel Kumar,165
D000000553,Dr. Jessica Soh,165
D000000554,Dr. Andrew Lim,165
D000000555,Dr. Ng Yap,165
D000000556,Dr. Wei Chua,166
D000000557,Dr. Sarah Krishnan,166
D000000558,Dr. Wong Ang,166
D000000559,Dr. James Nair,166
D000000560,Dr. Steven Ho,166
D000000561,Dr. Amanda Chng,167
D000000562,Dr. Wei Lim,167
D000000563,Dr. Linda Lim,168
D000000564,Dr. Michelle Ang,168
D000000565,Dr. Tan Tay,168
D000000566,Dr. Ming Nair,169
D000000567,Dr. Nicole Teo,169
D000000568,Dr. Jun Tay,169
D000000569,Dr. Rachel Chong,169
D000000570,Dr. Li Lee,169
D000000571,Dr. Lim Low,170
D000000572,Dr. Robert Hassan,170
D000000573,Dr. Lee Singh,170
D000000574,Dr. Jessica Yeo,171
D000000575,Dr. Wei Wong,171
D000000576,Dr. Jun Chng,172
D000000577,Dr. Amanda Tan,172
D000000578,Dr. Chen Koh,172
D000000579,Dr. Kumar Yeo,172
D000000580,Dr. Emily Krishnan,173
D000000581,Dr. Ng Koh,173
D000000582,Dr. Daniel Soh,174
D000000583,Dr. David Goh,174
D000000584,Dr. Ming Yap,174
D000000585,Dr. Lee Nair,174
D000000586,Dr. Daniel Lim,174
D000000587,Dr. Lee Wong,175
D000000588,Dr. Kumar Low,175
D000000589,Dr. Linda Sim,175
D000000590,Dr. Nicole Singh,175
D000000591,Dr. Rajesh Rahman,175
D000000592,Dr. Benjamin Soh,176
D000000593,Dr. Amanda Yap,176
D000000594,Dr. Rachel Wong,176
D000000595,Dr. Wei Ng,177
D000000596,Dr. Andrew Rahman,177
D000000597,Dr. James Singh,178
D000000598,Dr. Linda Low,178
D000000599,Dr. Michelle Lee,179
D000000600,Dr. Benjamin Chen,179
D000000601,Dr. Robert Kumar,179
D000000602,Dr. Marcus Yeo,179
D000000603,Dr. Andrew Lee,180
D000000604,Dr. Rachel Nair,180
D000000605,Dr. Rachel Goh,180
D000000606,Dr. Michael Ng,180
D000000607,Dr. Priya Singh,181
D000000608,Dr. Emily Ang,181
D000000609,Dr. Michelle Lee,181
D000000610,Dr. Michael Hassan,182
D000000611,Dr. Priya Yeo,182
D000000612,Dr. Emily Rahman,183
D000000613,Dr. Wei Tay,183
D000000614,Dr. Lim Soh,183
D000000615,Dr. David Tay,183
D000000616,Dr. Jessica Tan,184
D000000617,Dr. Robert Teo,184
D000000618,Dr. Tan Ali,185
D000000619,Dr. Marcus Lim,185
D000000620,Dr. Lim Chng,185
D000000621,Dr. Grace Tay,186
D000000622,Dr. Yan Soh,186
D000000623,Dr. John Wong,186
D000000624,Dr. Tan Wong,186
D000000625,Dr. Tan Lee,187
D000000626,Dr. Mary Lim,187
D000000627,Dr. Jun Ang,188
D000000628,Dr. Ming Nair,188
D000000629,Dr. Hui Sim,188
D000000630,Dr. Kumar Ong,188
D000000631,Dr. Marcus Chen,189
D000000632,Dr. Teo Hassan,189
D000000633,Dr. Rui Ang,189
D000000634,Dr. Li Ang,190
D000000635,Dr. Jun Kumar,190
D000000636,Dr. Hui Ang,190
D000000637,Dr. Chen Ang,190
D000000638,Dr. Xin Hassan,191
D000000639,Dr. Steven Rahman,191
D000000640,Dr. Jun Chua,191
D000000641,Dr. Hui Rahman,191
D000000642,Dr. Priya Kumar,191
D000000643,Dr. David Low,192
D000000644,Dr. Sarah Chua,192
D000000645,Dr. Jennifer Teo,193
D000000646,Dr. Ming Yap,193
D000000647,Dr. Wong Rahman,194
D000000648,Dr. Daniel Yeo,194
D000000649,Dr. David Kumar,194
D000000650,Dr. Benjamin Teo,194
D000000651,Dr. Daniel Wong,194
D000000652,Dr. Ming Chen,195
D000000653,Dr. Michelle Goh,195
D000000654,Dr. Linda Teo,195
D000000655,Dr. Chen Koh,195
D000000656,Dr. Ming Koh,195
D000000657,Dr. John Rahman,196
D000000658,Dr. Xin Krishnan,196
D000000659,Dr. Jun Goh,196
D000000660,Dr. Daniel Chng,196
D000000661,Dr. Grace Tay,197
D000000662,Dr. Ming Yap,197
D000000663,Dr. Mary Wong,197
D000000664,Dr. Marcus Lim,198
D000000665,Dr. Xin Sim,198
D000000666,Dr. Benjamin Lim,198
D000000667,Dr. Ng Ong,198
D000000668,Dr. Lee Chong,199
D000000669,Dr. John Ong,199
D000000670,Dr. Benjamin Goh,199
D000000671,Dr. Steven Kumar,199
D000000672,Dr. Benjamin Nair,199
D000000673,Dr. Lim Ng,200
D000000674,Dr. Marcus Tan,200
D000000675,Dr. James Ho,200
D000000676,Dr. Lim Soh,200
D000000677,Dr. Michael Goh,200
D000000678,Dr. Rui Rahman,201
D000000679,Dr. Ng Chen,201
D000000680,Dr. Hui Koh,201
D000000681,Dr. Priya Tay,202
D000000682,Dr. Rui Koh,202
D000000683,Dr. David Yap,203
D000000684,Dr. Jun Lee,203
D000000685,Dr. Nicole Krishnan,204
D000000686,Dr. Benjamin Low,204
D000000687,Dr. Michael Koh,205
D000000688,Dr. Mary Yap,205
D000000689,Dr. Goh Chen,205
D000000690,Dr. Goh Krishnan,206
D000000691,Dr. Li Soh,206
D000000692,Dr. Steven Yap,206
D000000693,Dr. Mary Sim,207
D000000694,Dr. Rui Ng,207
D000000695,Dr. Wong Soh,207
D000000696,Dr. Nicole Lim,207
D000000697,Dr. Goh Wong,208
D000000698,Dr. Li Chng,208
D000000699,Dr. Rachel Ang,208
D000000700,Dr. David Ali,209
D000000701,Dr. Priya Low,209
D000000702,Dr. Wei Lim,209
D000000703,Dr. John Wong,209
D000000704,Dr. Ong Ang,209
D000000705,Dr. Xin Ang,210
D000000706,Dr. Lim Nair,210
D000000707,Dr. Jennifer Yeo,211
D000000708,Dr. Nicole Tan,211
D000000709,Dr. Rachel Chng,211
D000000710,Dr. Tan Yeo,212
D000000711,Dr. Lim Ang,212
D000000712,Dr. Tan Rahman,213
D000000713,Dr. Goh Tan,213
D000000714,Dr. Jessica Wong,214
D000000715,Dr. Ong Chong,214
D000000716,Dr. Xin Soh,215
D000000717,Dr. John Teo,215
D000000718,Dr. Mary Chong,216
D000000719,Dr. Ng Chen,216
D000000720,Dr. David Rahman,217
D000000721,Dr. Daniel Koh,217
D000000722,Dr. Grace Hassan,217
D000000723,Dr. Jun Lee,217
D000000724,Dr. Teo Singh,217
D000000725,Dr. Emily Chong,218
D000000726,Dr. Marcus Ong,218
D000000727,Dr. Tan Soh,219
D000000728,Dr. Steven Chua,219
D000000729,Dr. John Soh,220
D000000730,Dr. Yan Lim,220
D000000731,Dr. Priya Soh,220
D000000732,Dr. Grace Rahman,221
D000000733,Dr. Kumar Koh,221
D000000734,Dr. Emily Ho,221
D000000735,Dr. Chen Low,222
D000000736,Dr. Xin Tan,222
D000000737,Dr. Tan Kumar,222
D000000738,Dr. Teo Krishnan,222
D000000739,Dr. Hui Sim,222
D000000740,Dr. Teo Ho,223
D000000741,Dr. Rajesh Sim,223
D000000742,Dr. Wong Kumar,223
D000000743,Dr. Chen Ali,223
D000000744,Dr. John Chong,224
D000000745,Dr. Teo Chua,224
D000000746,Dr. Linda Low,224
D000000747,Dr. Lim Krishnan,225
D000000748,Dr. Chen Goh,225
D000000749,Dr. Teo Chng,226
D000000750,Dr. Marcus Ng,226
D000000751,Dr. Teo Chua,226
D000000752,Dr. Ong Ong,226
D000000753,Dr. Andrew Soh,226
D000000754,Dr. Li Teo,227
D000000755,Dr. Ong Koh,227
D000000756,Dr. Grace Yap,228
D000000757,Dr. Michael Lim,228
D000000758,Dr. Michelle Ali,228
D000000759,Dr. Emily Singh,228
